[mut 300K rep3] equilibrating 100 ps at 300.0 K...
[mut 300K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
12.0%,6000000,-661608.8178292513,300.0764798420962,702,3:00:38
12.1%,6050000,-660837.722900263,299.90260236945204,702,3:00:26
12.2%,6100000,-661700.2899416653,299.5658602609996,702,3:00:13
12.3%,6150000,-661406.8790081008,298.024219790683,702,3:00:01
12.4%,6200000,-659217.6781466035,300.0668100341427,702,2:59:49
12.5%,6250000,-660710.6706668558,301.0867285512681,702,2:59:37
12.6%,6300000,-661003.5400497918,301.27714766298067,702,2:59:24
12.7%,6350000,-661119.5275695818,298.64257267196444,702,2:59:12
12.8%,6400000,-660606.3808142436,299.65279899732167,702,2:58:59
12.9%,6450000,-662031.3737163101,300.88599050097554,702,2:58:48
13.0%,6500000,-660793.1551107233,300.53946666549615,702,2:58:35
13.1%,6550000,-661382.8450315371,299.1693981349088,702,2:58:23
13.2%,6600000,-659801.4104516632,301.39363303471606,702,2:58:10
13.3%,6650000,-660348.3204721673,301.84921081544803,702,2:57:58
13.4%,6700000,-660967.5178679521,298.8746032952174,702,2:57:46
13.5%,6750000,-660539.4050942082,300.25084975866383,702,2:57:34
13.6%,6800000,-661064.1322279638,298.43030695709774,702,2:57:22
13.7%,6850000,-662149.1836412521,300.0910293216557,702,2:57:09
13.8%,6900000,-661089.8114006021,298.81094372619066,702,2:56:57
13.9%,6950000,-660511.7455606754,300.91927523344486,702,2:56:45
14.0%,7000000,-660519.1966482033,300.1972629062553,702,2:56:32
14.1%,7050000,-662053.7316185483,297.16284583312745,702,2:56:19
14.2%,7100000,-660508.8963654242,299.72102486454867,702,2:56:06
14.3%,7150000,-660084.140874553,299.7827594255106,702,2:55:54
14.4%,7200000,-659776.2193442243,298.9775240752403,702,2:55:41
14.5%,7250000,-661267.9491726989,301.3484401128226,702,2:55:29
14.6%,7300000,-661359.7358415169,298.85692008159884,702,2:55:16
14.7%,7350000,-660379.066481831,301.74691678223695,702,2:55:03
14.8%,7400000,-662057.2664319812,301.4464140697952,702,2:54:51
14.9%,7450000,-661339.1176138963,298.3638046436032,702,2:54:39
15.0%,7500000,-660581.6110160137,300.3579339282222,702,2:54:26
15.1%,7550000,-661472.2386088376,300.8311501549433,702,2:54:15
15.2%,7600000,-662259.6304818406,300.22584703763613,702,2:54:02
15.3%,7650000,-660343.7191095152,300.79392587108555,702,2:53:49
15.4%,7700000,-660935.0171152931,302.0952313228929,702,2:53:37
15.5%,7750000,-661028.696755508,301.7777392950885,702,2:53:25
15.6%,7800000,-660226.3034344325,298.37927185956573,702,2:53:12
15.7%,7850000,-661102.8929044534,299.51670540390296,702,2:53:00
15.8%,7900000,-661649.4513402805,296.1641919399737,702,2:52:48
15.9%,7950000,-661888.9844938172,297.4107465810077,702,2:52:35
16.0%,8000000,-661625.2273893356,298.9246982725317,702,2:52:23
16.1%,8050000,-660900.6199159063,299.2395490102007,702,2:52:11
16.2%,8100000,-660865.8936594785,300.4059472107688,702,2:51:59
16.3%,8150000,-661487.9899559445,301.6633803857504,702,2:51:46
16.4%,8200000,-660674.4933817051,299.6220212520995,703,2:51:33
16.5%,8250000,-659861.8767777686,299.709385280901,703,2:51:21
16.6%,8300000,-662140.4203090761,300.8284864809932,703,2:51:08
16.7%,8350000,-659911.2075057589,298.4816330442209,703,2:50:56
16.8%,8400000,-661610.1816341379,299.5158100513147,703,2:50:44
16.9%,8450000,-661627.2119837529,300.8615697591302,703,2:50:32
17.0%,8500000,-660630.2969569373,301.44117625715376,703,2:50:19
17.1%,8550000,-659641.6777210562,300.8670314099187,703,2:50:07
17.2%,8600000,-660247.1506915456,301.5344272292232,703,2:49:54
17.3%,8650000,-659970.1364645767,298.53363064578537,703,2:49:42
17.4%,8700000,-660422.8795212545,301.694046211899,703,2:49:30
17.5%,8750000,-661884.4647153318,299.21481489494937,703,2:49:17
17.6%,8800000,-661155.6062234542,301.03840189531564,703,2:49:05
17.7%,8850000,-661427.3754857439,300.49234873553786,703,2:48:53
17.8%,8900000,-660093.6170164286,300.1171288496041,703,2:48:41
17.9%,8950000,-661420.7700343933,301.4064589605432,703,2:48:28
18.0%,9000000,-661580.4734815713,298.96207924309243,703,2:48:16
18.1%,9050000,-660427.9799096086,299.5350601319627,703,2:48:04
18.2%,9100000,-659423.5503025004,300.377586917535,703,2:47:52
18.3%,9150000,-661609.6387686906,302.9342214657415,703,2:47:39
18.4%,9200000,-660397.6397195682,302.9717591230051,703,2:47:26
18.5%,9250000,-661859.5305991215,298.8854146777209,703,2:47:14
18.6%,9300000,-661937.3851955398,299.6689601115402,703,2:47:02
18.7%,9350000,-660172.3748507565,300.7242450559026,703,2:46:50
18.8%,9400000,-661691.6908221645,298.73953935727525,703,2:46:38
18.9%,9450000,-659985.8442496001,300.48845395177887,703,2:46:25
19.0%,9500000,-661481.2737399582,301.8265807787792,703,2:46:13
19.1%,9550000,-660328.2210232732,302.4116265437766,703,2:46:01
19.2%,9600000,-661240.1035424541,300.4054099992158,703,2:45:48
19.3%,9650000,-660589.7573895026,299.6589769301808,703,2:45:36
19.4%,9700000,-661559.0884340485,302.30973541923026,703,2:45:24
19.5%,9750000,-662675.0729427612,302.15886850810494,703,2:45:12
19.6%,9800000,-660581.5691643716,298.7597519419557,703,2:44:59
19.7%,9850000,-661999.6256398773,300.01998309377564,703,2:44:47
19.8%,9900000,-662260.2302712053,297.84038152049425,703,2:44:35
19.9%,9950000,-661473.3183429004,301.15381284394505,703,2:44:23
20.0%,10000000,-661102.4983993294,300.2395683160515,703,2:44:10
20.1%,10050000,-660659.4976562946,300.71007610119307,703,2:43:58
20.2%,10100000,-661222.0181002636,301.66241788171794,703,2:43:46
20.3%,10150000,-660777.5707077612,300.0295857502849,703,2:43:34
20.4%,10200000,-661086.3014571113,299.8892168482572,703,2:43:21
20.5%,10250000,-661691.3000183855,299.6318253629412,703,2:43:09
20.6%,10300000,-661131.4732783488,302.9009591170868,703,2:42:56
20.7%,10350000,-662200.1665715589,300.7595667155103,703,2:42:44
20.8%,10400000,-660119.3366970778,300.6899754355862,703,2:42:32
20.9%,10450000,-659951.6404255144,300.08870140492616,703,2:42:19
21.0%,10500000,-660832.6894169687,300.21931096374163,703,2:42:07
21.1%,10550000,-660616.8483255128,301.83219911627066,703,2:41:54
21.2%,10600000,-659987.8677827497,298.77080954642094,703,2:41:42
21.3%,10650000,-661784.9355012914,300.0081644396103,703,2:41:29
21.4%,10700000,-660692.573725895,298.8093544753465,703,2:41:17
21.5%,10750000,-660840.3821486058,299.61828315504346,703,2:41:04
21.6%,10800000,-660508.0158450268,299.50032045153745,703,2:40:52
21.7%,10850000,-661546.4786500572,302.88399218553883,703,2:40:40
21.8%,10900000,-661545.2861974994,300.4387618831293,703,2:40:27
21.9%,10950000,-661165.5546314493,301.11016440526635,703,2:40:15
22.0%,11000000,-661230.0660114745,298.71778228938,703,2:40:02
22.1%,11050000,-660939.1351770419,299.1638469488615,703,2:39:50
22.2%,11100000,-661111.1466787835,302.913852194358,703,2:39:38
22.3%,11150000,-660698.59908413,302.36826909468914,703,2:39:26
22.4%,11200000,-661396.3236196707,302.06096170257644,703,2:39:14
22.5%,11250000,-661978.3152343594,300.05445416842446,703,2:39:01
22.6%,11300000,-660736.5319137857,300.4133114858074,703,2:38:49
22.7%,11350000,-661919.6968616918,301.2574051384091,703,2:38:37
22.8%,11400000,-661661.1916683633,299.5777012989796,703,2:38:24
22.9%,11450000,-661021.5899574296,297.2714073344565,703,2:38:12
23.0%,11500000,-661125.0464190892,298.21669821334865,703,2:37:59
23.1%,11550000,-661810.8503847988,298.9646086141544,703,2:37:47
23.2%,11600000,-662250.8259659698,300.1860709989017,703,2:37:35
23.3%,11650000,-660565.9705677405,298.6697242392041,703,2:37:23
23.4%,11700000,-660914.1070186524,296.9589068973318,703,2:37:10
23.5%,11750000,-661575.3351672171,299.6935375400884,703,2:36:58
23.6%,11800000,-660726.581469195,299.0811387535191,703,2:36:46
23.7%,11850000,-662604.4847366652,300.2308386283158,703,2:36:34
23.8%,11900000,-661486.3529994763,299.11480401083844,703,2:36:22
23.9%,11950000,-660881.7738411119,301.39052168447176,703,2:36:09
24.0%,12000000,-660735.3127213679,301.1062248538779,703,2:35:57
24.1%,12050000,-659445.4600096536,301.0242105567914,703,2:35:44
24.2%,12100000,-661554.8908677413,297.7669849920699,703,2:35:33
24.3%,12150000,-661300.7449095896,299.75726426055934,703,2:35:20
24.4%,12200000,-660307.6934965877,301.0012895305314,703,2:35:08
24.5%,12250000,-661237.0581301982,302.6914466114291,703,2:34:55
24.6%,12300000,-661034.1635429761,300.0376439235795,703,2:34:43
24.7%,12350000,-661807.5155496742,298.63715578880533,703,2:34:30
24.8%,12400000,-661424.5263247727,301.15291749135673,703,2:34:18
24.9%,12450000,-660908.9026199104,300.92755724488643,703,2:34:06
25.0%,12500000,-661402.6620426914,300.1812808625544,703,2:33:53
25.1%,12550000,-659996.2419257304,300.53655676958425,703,2:33:41
25.2%,12600000,-662000.916354177,300.4805300813726,703,2:33:29
25.3%,12650000,-661199.3558405293,301.7031116568553,703,2:33:17
25.4%,12700000,-663034.127981958,301.7525798873578,703,2:33:05
25.5%,12750000,-661811.0678251372,299.01700912438343,703,2:32:52
25.6%,12800000,-659682.1897595539,302.66865988805733,703,2:32:40
25.7%,12850000,-660546.720525952,299.1800528307094,703,2:32:28
25.8%,12900000,-662054.3059612582,301.6456971721318,703,2:32:16
25.9%,12950000,-661467.6226170878,300.7563658300072,703,2:32:04
26.0%,13000000,-662081.3936782815,301.53585979336447,703,2:31:51
26.1%,13050000,-662355.8474290795,299.1445073329547,703,2:31:39
26.2%,13100000,-660046.3574455404,300.14004987586407,703,2:31:27
26.3%,13150000,-661257.3338215044,300.59376979997535,703,2:31:15
26.4%,13200000,-662418.1601218018,296.9306137555421,703,2:31:03
26.5%,13250000,-660778.57563488,301.5908568260996,703,2:30:50
26.6%,13300000,-661028.7977446821,301.23717016991395,703,2:30:38
26.7%,13350000,-661278.5814814656,301.4324689532327,703,2:30:26
26.8%,13400000,-661456.2769727344,299.6734816421109,703,2:30:13
26.9%,13450000,-662067.4212954207,299.26367876245484,703,2:30:01
27.0%,13500000,-659270.5331821209,299.4687592728005,703,2:29:49
27.1%,13550000,-660097.9985224027,300.9349439037398,703,2:29:36
