[wt 400K rep3] equilibrating 100 ps at 400.0 K...
[wt 400K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
12.8%,6400000,-527667.3035763451,404.4322106998992,718,2:55:10
12.9%,6450000,-528462.6866215812,404.0295411192329,718,2:54:58
13.0%,6500000,-527624.8977785069,404.76246157689025,718,2:54:46
13.1%,6550000,-527012.1399856401,396.8052602539127,718,2:54:34
13.2%,6600000,-527853.4835651927,399.52361110650656,718,2:54:23
13.3%,6650000,-528366.754101078,399.4821273572129,718,2:54:11
13.4%,6700000,-527799.5161203137,397.8183125466882,718,2:53:59
13.5%,6750000,-528168.7555487575,400.689252944289,718,2:53:48
13.6%,6800000,-528799.0173274679,398.2268943589215,717,2:53:36
13.7%,6850000,-527504.5441833739,400.2046952766077,717,2:53:24
13.8%,6900000,-527912.5534673892,401.02023978371574,718,2:53:11
13.9%,6950000,-529250.0988677591,400.47368954686516,718,2:52:59
14.0%,7000000,-529079.720792023,400.84169529680884,718,2:52:47
14.1%,7050000,-526406.4835279891,398.56786575539286,717,2:52:36
14.2%,7100000,-527070.5309725958,399.7539182847261,717,2:52:24
14.3%,7150000,-528439.5250977627,405.12551184643337,717,2:52:12
14.4%,7200000,-528413.1026310576,397.8774593944393,717,2:52:00
14.5%,7250000,-528577.4995539165,399.4539399959246,717,2:51:48
14.6%,7300000,-527436.6730017178,393.88407815403303,717,2:51:36
14.7%,7350000,-528960.1533549661,403.2288875854076,717,2:51:24
14.8%,7400000,-528085.6751584434,399.6535575405744,717,2:51:12
14.9%,7450000,-528274.1844227156,400.70652352944734,717,2:51:00
15.0%,7500000,-527844.7248249245,401.0452379744492,717,2:50:48
15.1%,7550000,-529557.2032898045,400.36263281531427,717,2:50:37
15.2%,7600000,-529133.2092672922,398.8700519315016,717,2:50:25
15.3%,7650000,-528467.5171882063,402.09332207916515,717,2:50:13
15.4%,7700000,-527785.055248328,400.9869252174586,717,2:50:01
15.5%,7750000,-527819.7535094698,397.69339518926444,717,2:49:49
15.6%,7800000,-529208.7305859611,401.0760012042625,717,2:49:37
15.7%,7850000,-527688.5068774782,398.4383854308677,717,2:49:25
15.8%,7900000,-528187.0542717725,403.45980806565694,717,2:49:13
15.9%,7950000,-528216.2189941881,397.27011866039777,717,2:49:01
16.0%,8000000,-526916.740997212,400.0109899635249,717,2:48:49
16.1%,8050000,-527467.997127125,397.05909369799423,717,2:48:37
16.2%,8100000,-525955.4936266481,397.57946820421427,717,2:48:25
16.3%,8150000,-529419.8873179439,398.51828641930626,717,2:48:13
16.4%,8200000,-528151.9261013484,400.1188820566021,717,2:48:01
16.5%,8250000,-527420.8016938334,398.3698918601829,717,2:47:50
16.6%,8300000,-529482.1203255891,399.0273516360972,717,2:47:38
16.7%,8350000,-527850.3140636198,400.93297917091996,717,2:47:26
16.8%,8400000,-528360.085162092,401.7256597783582,717,2:47:14
16.9%,8450000,-528632.8133920878,400.2264307005428,717,2:47:02
17.0%,8500000,-527855.1185859353,397.9798317692486,717,2:46:50
17.1%,8550000,-529606.6335714702,397.5697535000627,717,2:46:38
17.2%,8600000,-527706.7447903855,397.5496371934862,717,2:46:26
17.3%,8650000,-528282.3776828735,397.98311906812825,717,2:46:14
